location,continent,population,life_expectancy,hospital_beds_per_thousand,gdp_per_capita
Singapore,Asia,5637022,83.62,2.4,85535.38
Sint Maarten (Dutch part),North America,44192,78.95,,36327.23
Slovakia,Europe,5643455,77.54,5.82,30155.15
Slovenia,Europe,2119843,81.32,4.5,31400.84
Solomon Islands,Oceania,724272,73.0,1.4,2205.92
Somalia,Africa,17597508,57.4,0.9,
South Africa,Africa,59893884,64.13,2.32,12294.88
South America,,436816679,,,
South Korea,Asia,51815808,83.03,12.27,35938.37
South Sudan,Africa,10913172,57.85,,1569.89
Spain,Europe,47558632,83.56,2.97,34272.36
Sri Lanka,Asia,21832150,76.98,3.6,11669.08
Sudan,Africa,46874200,65.31,0.8,4466.51
Suriname,South America,618046,71.68,3.1,13767.12
Sweden,Europe,10549349,82.8,2.22,46949.28
Switzerland,Europe,8740471,83.78,4.53,57410.17
Syria,Asia,22125242,72.7,1.5,
Taiwan,Asia,23893396,80.46,,
Tajikistan,Asia,9952789,71.1,4.8,2896.91
Tanzania,Africa,65497752,65.46,0.7,2683.3
Thailand,Asia,71697024,77.15,2.1,16277.67
Togo,Africa,8848700,61.04,0.7,1429.81
Tokelau,Oceania,1893,81.86,,
Tonga,Oceania,106867,70.91,2.6,5425.62
Trinidad and Tobago,North America,1531043,73.51,3.0,28763.07
Tunisia,Africa,12356116,76.7,2.3,10849.3
Turkey,Asia,85341248,77.69,2.81,25129.34
Turkmenistan,Asia,6430777,68.19,7.4,16389.02
Turks and Caicos Islands,North America,45726,80.22,,
Tuvalu,Oceania,11335,67.57,,3575.1
Uganda,Africa,47249588,63.37,0.5,1697.71
Ukraine,Europe,39701744,72.06,8.8,7894.39
United Arab Emirates,Asia,9441138,77.97,1.2,67293.48
United Kingdom,Europe,67508936,81.32,2.54,39753.24
United States,North America,338289856,78.86,2.77,54225.45
United States Virgin Islands,North America,99479,80.58,,
Upper-middle-income countries,,2525921300,,,
Uruguay,South America,3422796,77.91,2.8,20551.41
Uzbekistan,Asia,34627648,71.72,4.0,6253.1
Vanuatu,Oceania,326744,70.47,,2921.91
Vatican,Europe,808,75.12,,
Venezuela,South America,28301700,72.06,0.8,16745.02
Vietnam,Asia,98186856,75.4,2.6,6171.88
Wales,Europe,3170000,,,
Wallis and Futuna,Oceania,11596,79.94,,
Western Sahara,Africa,576005,70.26,,
World,,7975105024,72.58,2.7,15469.21
Yemen,Asia,33696612,66.12,0.7,1479.15
Zambia,Africa,20017670,63.89,2.0,3689.25
Zimbabwe,Africa,16320539,61.49,1.7,1899.78
