date,new_cases,new_deaths,new_tests,total_cases,total_deaths,total_tests,cases_per_million,deaths_per_million,tests_per_million
2020-05-31,416.0,111.0,28948.0,232664.0,33340.0,2433621.0,3940.95465334288,564.726077701972,41221.63293170818
2020-06-01,355.0,75.0,18053.0,233019.0,33415.0,2451674.0,3946.967783444386,565.9964573008817,41527.421770363064
2020-06-02,178.0,60.0,25628.0,233197.0,33475.0,2477302.0,3949.982817692465,567.0127609800095,41961.51894850782
2020-06-03,318.0,55.0,20035.0,233515.0,33530.0,2497337.0,3955.3692271918417,567.9443726858765,42300.87968536322
2020-06-04,321.0,71.0,27451.0,233836.0,33601.0,2524788.0,3960.8064518751753,569.1469987061777,42765.855556958806
2020-06-05,177.0,88.0,40470.0,234013.0,33689.0,2565258.0,3963.804547728602,570.6375774355649,43451.35238853046
2020-06-06,518.0,85.0,34036.0,234531.0,33774.0,2599294.0,3972.5786361584046,572.0773409809959,44027.86758891031
2020-06-07,270.0,72.0,27894.0,234801.0,33846.0,2627188.0,3977.1520027144793,573.2969053959492,44500.34716933679
2020-06-08,197.0,53.0,16301.0,234998.0,33899.0,2643489.0,3980.488866460949,574.194640312512,44776.45994056114
2020-06-09,280.0,65.0,32200.0,235278.0,33964.0,2675689.0,3985.2316169635446,575.2956359649004,45321.87624835969
2020-06-10,283.0,79.0,37865.0,235561.0,34043.0,2713554.0,3990.025182650097,576.6337691424186,45963.24856186254
2020-06-11,202.0,71.0,32991.0,235763.0,34114.0,2746545.0,3993.446738369827,577.8363951627197,46522.06313983092
2020-06-12,379.0,53.0,37651.0,236142.0,34167.0,2784196.0,3999.866389942984,578.7341300792825,47159.81063687822
2020-06-13,163.0,56.0,32880.0,236305.0,34223.0,2817076.0,4002.627348271281,579.6826801798018,47716.74505304021
2020-06-14,346.0,78.0,29545.0,236651.0,34301.0,2846621.0,4008.4880328209174,581.0038749626677,48217.18992303735
2020-06-15,338.0,44.0,17463.0,236989.0,34345.0,2864084.0,4014.213210213337,581.7491643273614,48512.98510884748
2020-06-16,301.0,26.0,27762.0,237290.0,34371.0,2891846.0,4019.311667003628,582.1895625883168,48983.22882117988
2020-06-17,210.0,34.0,33957.0,237500.0,34405.0,2925803.0,4022.868729880575,582.7654680064892,49558.405888382214
2020-06-18,328.0,43.0,32921.0,237828.0,34448.0,2958724.0,4028.4245233264733,583.4938189765307,50116.03477872494
2020-06-19,331.0,66.0,28570.0,238159.0,34514.0,2987294.0,4034.0311319563275,584.6117530235712,50599.964713936264
2020-06-20,-148.0,47.0,29875.0,238011.0,34561.0,3017169.0,4031.524249547813,585.4078575722212,51105.99925416861
2020-06-21,264.0,49.0,24581.0,238275.0,34610.0,3041750.0,4035.9959857359745,586.2378389101756,51522.36193311258
2020-06-22,224.0,24.0,16152.0,238499.0,34634.0,3057902.0,4039.7901861380515,586.6443603818267,51795.95088353377
2020-06-23,221.0,23.0,23225.0,238720.0,34657.0,3081127.0,4043.5335713561717,587.0339434588257,52189.345099329454
2020-06-24,113.0,18.0,30237.0,238833.0,34675.0,3111364.0,4045.4476099518624,587.3388345625639,52701.51133842587
2020-06-25,577.0,-31.0,29421.0,239410.0,34644.0,3140785.0,4055.2210636661407,586.813744328348,53199.85584748615
2020-06-26,296.0,34.0,28331.0,239706.0,34678.0,3169116.0,4060.234828483171,587.3896497465203,53679.73750637561
2020-06-27,255.0,30.0,29721.0,239961.0,34708.0,3198837.0,4064.554119119464,587.8978015860841,54183.16353383153
2020-06-28,175.0,8.0,21183.0,240136.0,34716.0,3220020.0,4067.5183381835864,588.0333087433012,54541.969547747576
2020-06-29,174.0,22.0,15484.0,240310.0,34738.0,3235504.0,4070.4656188530566,588.405953425648,54804.24365054113
2020-06-30,126.0,6.0,28471.0,240436.0,34744.0,3263975.0,4072.5998565792247,588.5075837935608,55286.49668468189
2020-07-01,142.0,23.0,29325.0,240578.0,34767.0,3293300.0,4075.0051086198273,588.8971668705598,55783.21510785557
2020-07-02,182.0,21.0,29147.0,240760.0,34788.0,3322447.0,4078.0878964465146,589.2528731582545,56276.91849678116
2020-07-03,201.0,30.0,25680.0,240961.0,34818.0,3348127.0,4081.4925137715923,589.7610249978184,56711.89647144783
2020-07-04,223.0,15.0,28946.0,241184.0,34833.0,3377073.0,4085.269775779017,590.0151009176003,57202.19524304835
2020-07-05,235.0,21.0,21166.0,241419.0,34854.0,3398239.0,4089.2502985222673,590.370807205295,57560.7133042553
2020-07-06,192.0,7.0,13771.0,241611.0,34861.0,3412010.0,4092.502470295476,590.4893759678598,57793.97193700977
2020-07-07,208.0,8.0,22490.0,241819.0,34869.0,3434500.0,4096.025656383119,590.6248831250768,58174.91643273614
2020-07-08,137.0,30.0,28679.0,241956.0,34899.0,3463179.0,4098.346216450461,591.1330349646407,58660.69265296454
2020-07-09,193.0,15.0,29947.0,242149.0,34914.0,3493126.0,4101.615326618321,591.3871108844227,59167.94675761184
2020-07-10,214.0,12.0,27251.0,242363.0,34926.0,3520377.0,4105.240143073876,591.5903716202482,59629.534950277004
2020-07-11,276.0,12.0,25449.0,242639.0,34938.0,3545826.0,4109.915139997865,591.7936323560738,60060.60015577903
2020-07-12,188.0,7.0,23061.0,242827.0,34945.0,3568887.0,4113.099558192464,591.9122011186387,60451.21647485177
2020-07-13,234.0,9.0,14006.0,243061.0,34954.0,3582893.0,4117.063142541063,592.0646466705078,60688.45563034948
2020-07-14,169.0,13.0,24222.0,243230.0,34967.0,3607115.0,4119.925731237273,592.2848458009855,61098.73742561335
2020-07-15,114.0,17.0,28392.0,243344.0,34984.0,3635507.0,4121.856708227615,592.5727985100717,61579.652326576586
2020-07-16,162.0,13.0,28089.0,243506.0,34997.0,3663596.0,4124.60072816126,592.7929976405494,62055.43489396023
2020-07-17,230.0,20.0,28661.0,243736.0,35017.0,3692257.0,4128.49655893125,593.131765533592,62540.906223084894
2020-07-18,231.0,11.0,27569.0,243967.0,35028.0,3719826.0,4132.409328095891,593.3180878747654,63007.88082524943
2020-07-19,249.0,14.0,20621.0,244216.0,35042.0,3740447.0,4136.626988364272,593.5552253998952,63357.16746137098
2020-07-20,218.0,3.0,14121.0,244434.0,35045.0,3754568.0,4140.319558398435,593.6060405838516,63596.35453225368
2020-07-21,190.0,13.0,23915.0,244624.0,35058.0,3778483.0,4143.53785338234,593.8262397143292,64001.43624035934
2020-07-22,128.0,15.0,29288.0,244752.0,35073.0,3807771.0,4145.705967897812,594.0803156341111,64497.52794293089
2020-07-23,280.0,9.0,33018.0,245032.0,35082.0,3840789.0,4150.448718400408,594.2327611859803,65056.79985755488
2020-07-24,306.0,10.0,28970.0,245338.0,35092.0,3869759.0,4155.63186716396,594.4021451325016,65547.50515062704
